text,lang,published,entities
"Was meint ihr? EM 2024 Top oder Flop? Im Vorfeld solcher Großveranstaltungen wird sowohl in der Politik als auch im Freundes- und Familienkreis ja immer viel über die Vor- und Nachteile diskutiert. 

Nun ist klar: Auch wenn Deutschland nicht Weltmeister wurde, war die Heimat-EM ein großer Erfolg! 🤩 Die EURO 2024 hat nicht nur Millionen Fußballfans große Freude bereitet, sondern Deutschland auch einen positiven Ertrag gebracht. Der wirtschaftliche Nutzen übersteigt die öffentlichen Ausgaben von rund 333 Millionen Euro um ein Vielfaches. Der Abschlussbericht und die wissenschaftliche Studie belegen zudem, dass das Turnier neue Maßstäbe für nachhaltige Sportevents gesetzt hat. 👏💡

Mit über 2,67 Millionen Fans im Stadion und rund 6 Millionen in den Fan-Zonen wurde der gesellschaftliche Zusammenhalt gestärkt und die Sportlandschaft in Deutschland weiter gefördert. Mehr als 2000 gesellschaftliche Projekte trugen dazu bei, positive soziale Effekte zu erzielen und das Ehrenamt zu stärken.

Ökologisch konnte die EURO 2024 ebenfalls überzeugen: Durch gezielte Maßnahmen wie klimafreundliche Mobilität und Abfalltrennung konnten die CO2-Emissionen auf 779.000 Tonnen gesenkt werden, eine beeindruckende Reduktion im Vergleich zu früheren Turnieren. 🌱

Ebenso war das Turnier wirtschaftlich ein voller Erfolg mit einer Gesamtwertschöpfung von rund 7,4 Milliarden Euro! 💰

Für mich als Parlamentarischer Staatssekretär im Bundesinnenministerium und leidenschaftlicher Fußballfan ist es besonders erfreulich zu sehen, wie solche Events nicht nur sportliche Höhepunkte, sondern auch positive Impulse für die Gesellschaft und die Wirtschaft setzen können. Mehr über die Studie könnt ihr bei Interesse hier nachlesen:https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2024/12/euro2024.html.",de,17-12-2024,"['EM 2024', 'Deutschland', 'EURO 2024', 'Parlamentarischer Staatssekretär', 'Bundesinnenministerium']"
"Die Migrationsberatung für Erwachsene (MBE) ist ein zentraler Baustein, wenn es um das Gelingen von Integration bei nach Deutschland eingewanderten Menschen geht. Auch das BRK in Bayreuth übernimmt diese wichtige Aufgabe. Allerdings blickt die Migrationsberatung beim BRK in eine ungewisse Zukunft, denn faktisch schreibt das BRK trotz erheblicher Bundesmittel rote Zahlen in diesem Bereich. Denn die Bundesmittel reichen nicht aus, um die Beratung kostendeckend gestalten zu können. Dank der Unterstützung von Stadt und Landkreis Bayreuth ist die Finanzierung zwar auch für das Jahr 2025 noch gesichert, wie es danach weitergehen soll, darüber habe ich mit BRK-Kreisgschäftsführer Markus Ruckdeschel, der Leiterin der Abteilung Wohlfahrt und Soziales Susanne Bühner und den Migrationsberaterinnen Dr. Sabine Hahn und Anke Selbmann gesprochen. Meiner festen Überzeugung nach muss die Migrationsberatung auch bei einer künftigen Bundesregierung hohen Stellenwert einnehmen und die Mittel des Bundes in adäquater Weise aufgestockt werden. Denn jeder investierte Euro in diese Beratung zahlt sich durch schnellere und effektivere Integration der Zuwanderer in Arbeitsmarkt und Sozialleben doppelt aus. Vielen Dank an das BRK für diese wichtige Arbeit und das konstruktive Gespräch.",de,17-12-2024,"['Deutschland', 'Bayreuth']"
"Viele von uns haben die Bilder der Hochwasser an der Elbe oder auch vom schrecklichen Hochwasser im Ahrtal im Juli 2021 vor Auge, welches vor über drei Jahren 134 Menschenleben kostete.

Die Republik Kasachstan ist in diesem Jahr ebenfalls von einer schweren Hochwasserkatastrophe heimgesucht worden. Dies war der Anlass gemeinsam mit der Deutsch Kasachischen Gesellschaft e.V. und der Botschaft der Republik Kasachstan in der Bundesrepublik Deutschland zu einer Konferenz „Hochwasser 2024 und aktuelle Fragen des Wasserressourcenmanagements in Kasachstan“ in das Jakob-Kaiser-Haus nach Berlin einzuladen.

Am 4. Dezember 2024 trafen sich aus Politik, Wissenschaft und Wirtschaft über 60 Teilnehmer vor Ort und nochmals um die 40 Teilnehmer, die online von Kasachstan aus zugeschaltet waren, um über dieses Thema auf verschiedenen Ebenen zu diskutieren und Bestandsanalysen und Lösungsansätze zu erarbeiten.

Für die Zukunft Kasachstans und für mich selbst ein erkenntnisreicher und gewinnbringender Nachmittag.",de,17-12-2024,"['Republik Kasachstan', 'Bundesrepublik Deutschland', 'Konferenz', 'Hochwasser 2024', 'Kasachstan', 'Jakob-Kaiser-Haus', 'Berlin']"
"🎄BORIS RHEIN LIVE geht in die Christkindlmarkt-Edition🎄

Wann❓
Am Freitag, den 20. Dezember 2024 ab 18:30 Uhr.

Wo❓
Auf dem Christkindlmarkt in Limburg an der Lahn. Los geht’s an der evangelischen Kirche, Ecke Bahnhofstr./Schiede. Von da aus gehen wir zum Neumarkt und später zur Plötze.

Wer kommt❓
Der Landesvorsitzende der CDU Hessen, Ministerpräsident @borisrhein.cdu, wird gemeinsam mit @klauspeterwillsch (Bundestagskandidat des Wahlkreises Rheingau-Taunus-Limburg) den Limburger Weihnachtsmarkt besuchen. Darüber hinaus werden am Rundgang die Landtagsabgeordneten aus der Region, @andihofmeister und @christian.wendel.limburg, teilnehmen.

Darauf dürft ihr euch freuen❗️
Nach einem musikalischen Gruß der Jagdhorn-Bläser📯, werden Rhein und Willsch mit euch bei Bratwurst und Feuerzangenbowle ins Gespräch kommen und zum Abschluss Glühwein am Stand des Partnerschaftsvereines ausschenken.

‼️Wir freuen uns auf euch",de,17-12-2024,"['BORIS RHEIN', 'Christkindlmarkt-Edition', 'Christkindlmarkt', 'Limburg an der Lahn', 'Ministerpräsident']"
"Finanzielle Unterstützung des Bundes für den Wohnungsbau in der Region

Das Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen (BMWSB) hat  8 Modellregionen für die Einrichtung und Erprobung eines digitalen Baupotentialregisters benannt, eine davon ist Bonn und Rhein-Sieg. 

Die Region erhält deshalb im Jahr 2025 eine finanzielle Förderung von rund 239.000 €.

Die Schaffung von bezahlbarem Wohnraum in unserer Region ist und bleibt eine der größten Herausforderungen des Jahrzehnts. Wir müssen die Potenziale für zusätzlichen Wohnraum besser erkennen. Kleinteilige und bisher aufwändige Verfahren in diesem Bereich müssen vereinfacht werden.

Beim geförderten Bonner Baulandpotenzialregister sollen bestehende Potenzialdatensätze der Stadt Bonn, sowie u.a. das Siedlungsentwicklungskonzept NEILA zusammengeführt und weiterentwickelt werden. 

NEILA steht für Nachhaltige Entwicklung durch interkommunales Landmanagement in der Modellregion Bonn/Rhein-Sieg/Ahrweiler und strebt ein nachhaltiges regionales Wachstum an. Ziel ist es, mit dem Instrument der freiwilligen Kooperation die nachhaltige Raumentwicklung in der Region zu fördern und auf die sich immer rascher ändernden gesellschaftlichen Anforderungen reagieren zu können.",de,17-12-2024,"['Bonn', 'Rhein-Sieg']"
"Deshalb sind sie weg - & das ist auch gut👏 so!
#AfD #Thüringen
#ZeitfürDeutschland🇩🇪
#wirhabendasDirektmandat👍
#Gera Greiz Altenburg AltenburgerLand Zeulenroda Triebes Gößnitz Sömmerda Meuselwitz Weida
#WK193 #Berlin #Bundestag #Brandner",de,17-12-2024,"['Thüringen', 'Gera', 'Berlin']"
"Firmenbesuch beim traditionsreiche Gartencenter Lenders in Mönchengladbach!

Seit über 50 Jahren ist das Familienunternehmen eine feste Größe in unserer Region – und das mit beeindruckendem Engagement für Qualität, Innovation und die Gemeinschaft.

Herzlichen Dank an die Geschäftsführer Tim Lenders und Reimund Esser, die deutlich gemacht haben, wie viel Herzblut hinter diesem Betrieb steckt. Von den hochwertigen Pflanzen und Gartenprodukten bis hin zur modernen Unternehmensführung – hier wird gezeigt, wie Tradition und Innovation erfolgreich Hand in Hand gehen. 🌿🌼

#Mönchengladbach #Familienunternehmen #GartencenterLenders #TraditionTrifftZukunft #wirkringshin",de,17-12-2024,"['Gartencenter Lenders', 'Mönchengladbach', 'Familienunternehmen']"
"#OlafderVergessliche... ist am Ende!
Und das ist gut so✌️
🎥👉https://youtu.be/vp727Nq7foc?feature=shared
#fürdieBürger
#ZeitfürDeutschland🇩🇪
#wirhabendasDirektmandat👍
#Gera Greiz Altenburg AltenburgerLand Zeulenroda Triebes Gößnitz Meuselwitz Weida
#WK193 #Berlin #Bundestag #Brandner",de,17-12-2024,"['OlafderVergessliche', 'Gera', 'Berlin']"
Die CDU-Landesgruppe Schleswig-Holstein kam gestern in ungewöhnlich großer Runde zusammen. Aus gutem Grund: Gemeinsam mit den CDU-Direktkandidaten zur vorgezogenen Bundestagswahl im Februar 2025 sprachen wir in der schleswig-holsteinischen Landesvertretung in Berlin über die aktuelle politische Lage und den Ausblick für die kommenden Monate. Ein guter Austausch zur richtigen Zeit!,de,17-12-2024,"['Schleswig-Holstein', 'Bundestagswahl', 'Berlin']"
"Das Problem mit der Politik von SPD und Grünen ist, dass sie glauben, man könne unbegrenzt Geld ausgeben – auf Kosten unserer Kinder und Enkel.",de,17-12-2024,"['SPD', 'Grünen']"
